MARKER	BETA	SE
rs7717406	-0.017338003	0.035293736
rs7737716	0.01446699	0.057334208
rs7749628	0.022334352	0.042099077
rs7753174	-0.007403855	0.041394486
rs7753254	-0.016654936	0.025021358
rs7768474	-0.002371155	0.048709889
rs7781733	0.009342425	0.036761429
rs7784792	-0.001046829	0.064407574
rs780012	-0.002304498	0.042794818
rs7806423	0.00906916	0.049957444
rs7816550	0.017858052	0.061272703
rs782437	0.002241638	0.022516506
rs7827040	-0.037793812	0.039313469
rs7834635	-0.010246261	0.068638727
rs7835336	-0.001923561	0.047142276
rs7848479	-0.031807551	0.044882137
rs7859629	-0.010625132	0.031437347
rs7901697	0.01798484	0.068322505
rs7929060	-0.012435165	0.073157429
rs793462	-0.008056559	0.05812294
rs7944977	-0.003149846	0.066409364
rs7958729	0.002572338	0.03390438
rs7960860	-0.021745832	0.047977596
rs7967678	0.000261131	0.032894626
rs7967890	0.044661539	0.066667536
rs7973870	0.010615323	0.025745681
rs7976869	0.017613914	0.076745405
rs7984035	0.013176003	0.041106424
rs799906	0.022272484	0.017518249
rs8010251	0.006789083	0.044084588
rs8011227	0.021622589	0.038178941
rs8014390	0.034937945	0.094017575
rs8032387	-0.032029327	0.065889122
rs8033002	-0.015935566	0.089554232
rs8048207	0.025296023	0.064467958
rs8048828	-0.010638447	0.045077204
rs8059479	0.010938714	0.052943253
rs8074061	-0.00198122	0.030640863
rs8077521	-0.010181533	0.04698626
rs8092245	-0.00537127	0.040856167
rs8108058	0.006189384	0.050801974
rs8109631	-0.002038472	0.043822244
rs819451	-0.001365816	0.047579057
rs825045	0.001809388	0.066462083
rs833005	0.018440272	0.052547985
rs859530	-0.016358856	0.059817644
rs881830	-0.004679395	0.053599274
rs895415	-0.017657197	0.036859389
rs910501	-0.01702965	0.040765637
rs913180	-0.004048762	0.058263225
rs922071	-0.006923197	0.046808697
rs9257248	-0.031318972	0.07491431
rs9261271	0.028382566	0.067704335
rs9288619	0.00051041	0.040324804
rs9297171	0.006449397	0.054679151
rs9302491	0.001473654	0.064481971
rs9304040	-0.000913939	0.038752781
rs9304360	-0.011507229	0.042457509
rs9309393	0.027987852	0.04057598
rs9313986	-0.033418762	0.049222657
rs9314865	0.024815887	0.038948916
rs9316301	-0.043209094	0.059621419
rs9322886	0.010087656	0.032839078
rs9328467	0.005329259	0.070628732
rs9329289	0.013885299	0.036247241
rs9354058	-0.005468443	0.069767377
rs9361805	0.007054186	0.054742087
rs9367972	-0.001874949	0.063687642
rs9374951	-0.020541414	0.064444145
rs9379840	-0.014284943	0.045633879
rs9385745	-0.025816578	0.069954129
rs938717	-0.032239609	0.049961501
rs9389084	0.012095062	0.033212578
rs9389604	0.027713904	0.063997602
rs9390669	0.005354397	0.04277254
rs9392818	-0.00373873	0.038498256
rs9398226	0.016659869	0.082462586
rs9418731	-0.012040767	0.041837285
rs9422351	-0.001141659	0.020669324
rs943220	-0.010028903	0.041454906
rs9451212	-0.008036448	0.032814144
rs9466300	-0.009352466	0.081881266
rs9475684	-0.04347484	0.083192541
rs950985	0.005512915	0.02780826
rs9518596	0.017180636	0.044052798
rs952050	-0.024752291	0.045563505
rs9525660	-0.029941544	0.054428739
rs9527415	0.01219741	0.054594104
rs9539668	-0.039080439	0.062270914
rs9558798	-0.043067723	0.060537061
rs956129	-0.011483237	0.025407981
rs9569350	-0.013661895	0.050236062
rs9597832	-0.001183584	0.060081742
rs9615427	-0.03123506	0.073946718
rs9638826	0.021293893	0.023083852
rs964009	-0.023169041	0.083792734
rs9646736	-0.014858928	0.059552064
rs9647358	0.015977063	0.047696641
rs9651617	0.026587759	0.064011239
rs965638	-0.010842002	0.041391129
rs9674202	0.018367733	0.035444392
rs976423	-0.016918276	0.038478199
rs9772779	0.004454339	0.055126554
rs9788061	-0.015256186	0.033376156
rs9789631	-0.003838547	0.100973782
rs9801310	0.028732471	0.070674309
rs9815677	0.032232401	0.053791985
rs9851280	-0.001938681	0.078250129
rs9854373	0.016751498	0.106851277
rs9856011	0.016636462	0.055172793
rs9873271	-0.004999273	0.090922621
rs9879475	0.013099906	0.05104185
rs9880722	-0.02245932	0.064839277
rs990365	0.029337079	0.044918262
rs990380	-0.023911901	0.040835753
rs9929501	-0.013933326	0.050452678
rs9933445	-0.014304886	0.039212735
rs9936020	0.012054827	0.043837126
rs994646	0.018223457	0.088050009
rs9958092	-0.020166255	0.029036906
rs9968646	0.001784273	0.073466024
rs997164	0.001582069	0.029850529
rs9991757	0.027886424	0.048741034
rs10002148	0.077629423	0.140740667
rs10155071	-0.097240198	0.283768142
rs10210843	0.039678676	0.164706362
rs10243586	0.006684915	0.060703796
rs10272171	0.021632543	0.096304265
rs10426656	0.036779588	0.113091111
rs10507308	-0.027552316	0.118400761
rs11805293	0.108162667	0.312353214
rs12135501	-0.029200788	0.11573071
rs12148497	-0.032000603	0.277719596
rs12376524	0.052310262	0.156146592
rs1244454	-0.104697296	0.401914921
rs12580769	-0.021558389	0.108042626
rs12827098	0.059275586	0.10990727
rs12901826	-0.01096936	0.110567516
rs13066987	0.024833279	0.111932494
rs13106652	-9.44638E-05	0.047240206
rs13237444	-0.086519569	0.14904618
rs1437052	-0.019890157	0.147658997
rs1466585	0.002442329	0.107768048
rs150820	0.018196594	0.166587321
rs16842397	-0.002787989	0.123240594
rs16888393	0.008129888	0.131312967
rs16890122	0.024045847	0.133859769
rs16926365	0.004069581	0.109363739
rs16951711	-0.023723625	0.234702514
rs17018986	-0.010746493	0.143364031
rs17020708	-0.051014747	0.136308078
rs17115178	-0.020071582	0.154200349
rs17136964	0.136494716	0.22051216
rs17545555	0.012541408	0.099806029
rs17559206	0.014760114	0.079186035
rs1756675	-0.002291105	0.123839654
rs17622338	0.027019696	0.114314457
rs17670349	0.003720247	0.089384915
rs17865960	-0.029140207	0.117414932
rs1914568	-0.000894476	0.125340029
rs2021846	0.022092858	0.108964746
rs2030879	-0.013978303	0.131471285
rs2063720	-0.071188888	0.152102819
rs2284846	0.115429693	0.142907449
rs2478149	-0.025656436	0.075700665
rs27026	-0.033792634	0.080265439
rs295158	0.075445493	0.158470622
rs3105209	-0.026850274	0.061445901
rs3124103	-0.003747623	0.271501043
rs4523870	0.016048786	0.15789084
rs4585410	-0.058388489	0.167994704
rs4676581	0.037376873	0.153411084
rs472474	0.049904079	0.122477222
rs4776027	-0.028908766	0.219438996
rs4788478	-0.081592659	0.140286697
rs529672	0.045287919	0.106185931
rs568210	-0.029946668	0.126220951
rs583789	0.04409088	0.147820323
rs6486822	0.006300335	0.104836428
rs6593926	0.008474434	0.092548682
rs6764829	0.091871206	0.192757374
rs6833446	0.017200076	0.14767881
rs6908023	-0.020349224	0.115249361
rs7033410	-0.001384915	0.113639105
rs7141120	-0.042431307	0.108791429
rs7326662	-0.005321728	0.12176974
rs7337216	-0.033432209	0.324897384
rs7479232	0.029397105	0.140045402
rs756098	0.007400262	0.129290406
rs7633263	0.07716782	0.148395678
rs7675270	0.063274994	0.124154107
rs7719269	0.008827428	0.130296259
rs7748989	-0.004699304	0.122865151
rs8089797	0.035958344	0.14654299
rs874060	-0.016584954	0.085994155
rs9308870	-0.052800532	0.121653833
rs933536	0.103740948	0.286370321
rs9357308	-6.87548E-05	0.090365289
rs9470554	0.104519483	0.311834299
rs9552104	-0.037240188	0.103153539
rs9896056	-0.000128304	0.067977061
